LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;2 m above gnd;2 m above gnd;2 m above gnd;2 m above gnd;MSL;MSL
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Temperature;Temperature;Relative Humidity;Relative Humidity;Mean Sea Level Pressure;Mean Sea Level Pressure
UNIT;;;;;°C;%;hPa;°C;°C;%;%;hPa;hPa
AGGREGATION;;;;;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Relative Humidity daily mean [2 m above gnd];Mean Sea Level Pressure daily mean [MSL];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Relative Humidity daily max [2 m above gnd];Relative Humidity daily min [2 m above gnd];Mean Sea Level Pressure daily max [MSL];Mean Sea Level Pressure daily min [MSL]
1999;01;01;00;00;6.03;80.08;1013.60;10.73;1.60;95.00;60.00;1016.60;1011.70
1999;01;02;00;00;6.33;85.25;1014.15;11.74;1.57;98.00;63.00;1016.60;1011.60
1999;01;03;00;00;7.37;91.92;1016.09;9.33;6.13;98.00;73.00;1018.00;1013.20
1999;01;04;00;00;8.82;97.29;1018.70;11.11;6.78;100.00;87.00;1022.20;1015.20
1999;01;05;00;00;10.69;85.62;1021.22;15.91;5.96;100.00;66.00;1022.50;1019.10
1999;01;06;00;00;8.72;77.54;1019.86;15.81;4.01;92.00;59.00;1022.20;1016.50
1999;01;07;00;00;6.41;83.17;1017.14;12.49;0.20;95.00;60.00;1020.10;1012.80
1999;01;08;00;00;8.37;91.38;1009.06;10.01;4.51;98.00;86.00;1012.50;1006.10
1999;01;09;00;00;4.02;89.96;1009.38;5.70;3.02;97.00;82.00;1011.50;1008.00
1999;01;10;00;00;3.08;85.38;1008.23;4.96;0.72;95.00;71.00;1012.30;1000.50
1999;01;11;00;00;2.71;91.75;1004.99;3.69;1.51;95.00;84.00;1011.50;1000.90
1999;01;12;00;00;-0.75;83.92;1018.13;1.03;-2.00;94.00;74.00;1022.60;1012.30
1999;01;13;00;00;1.43;90.67;1013.68;2.82;-0.30;96.00;75.00;1017.00;1009.10
1999;01;14;00;00;3.13;95.42;1015.14;4.12;2.07;99.00;90.00;1020.80;1011.40
1999;01;15;00;00;3.89;90.96;1019.58;7.12;1.76;100.00;70.00;1021.80;1016.10
1999;01;16;00;00;4.58;89.83;1014.29;11.21;-0.63;100.00;61.00;1017.00;1011.90
1999;01;17;00;00;3.68;85.54;1015.75;9.85;-2.40;99.00;57.00;1018.90;1013.50
1999;01;18;00;00;5.54;88.25;1023.68;10.59;1.83;100.00;70.00;1026.20;1019.60
1999;01;19;00;00;5.87;91.83;1025.08;9.50;3.30;100.00;76.00;1026.80;1022.80
1999;01;20;00;00;5.90;88.50;1024.37;12.88;1.61;100.00;64.00;1025.80;1022.10
1999;01;21;00;00;5.53;86.54;1024.43;12.24;0.10;97.00;65.00;1026.10;1022.00
1999;01;22;00;00;6.74;84.46;1024.53;11.81;3.64;96.00;64.00;1025.60;1023.20
1999;01;23;00;00;5.97;86.92;1023.56;11.66;1.35;100.00;67.00;1024.70;1021.90
1999;01;24;00;00;5.60;89.88;1025.89;10.18;1.38;100.00;71.00;1027.90;1024.60
1999;01;25;00;00;6.74;90.92;1026.35;11.82;2.33;100.00;72.00;1028.70;1023.10
1999;01;26;00;00;6.40;96.12;1017.36;8.82;3.24;100.00;92.00;1022.70;1013.50
1999;01;27;00;00;3.49;94.83;1013.08;4.75;2.42;99.00;83.00;1019.40;1006.90
1999;01;28;00;00;3.25;97.96;1010.95;5.00;2.19;100.00;95.00;1019.10;1007.30
1999;01;29;00;00;1.38;86.54;1022.69;3.45;-1.58;100.00;69.00;1034.30;1011.40
1999;01;30;00;00;-2.08;75.75;1036.68;-0.73;-2.97;90.00;58.00;1038.10;1034.70
1999;01;31;00;00;-2.52;87.42;1037.04;-1.78;-3.25;92.00;79.00;1037.60;1036.50
1999;02;01;00;00;-1.75;83.75;1035.41;1.20;-3.85;94.00;65.00;1037.10;1033.10
1999;02;02;00;00;0.66;91.29;1036.87;2.61;-1.37;96.00;77.00;1039.00;1035.60
1999;02;03;00;00;3.02;91.62;1037.74;6.06;0.46;100.00;79.00;1039.70;1034.80
1999;02;04;00;00;6.22;92.46;1031.19;10.48;4.12;100.00;75.00;1035.00;1027.20
1999;02;05;00;00;4.34;95.08;1019.57;5.25;2.91;98.00;89.00;1026.60;1016.10
1999;02;06;00;00;3.33;93.88;1013.25;4.93;1.77;98.00;84.00;1016.70;1010.20
1999;02;07;00;00;1.74;93.46;1004.43;2.75;-0.98;98.00;80.00;1009.50;1000.90
1999;02;08;00;00;-0.81;87.54;1009.35;0.68;-4.48;95.00;75.00;1011.80;1002.20
1999;02;09;00;00;0.10;91.79;1000.34;1.16;-0.68;95.00;86.00;1005.20;998.20
1999;02;10;00;00;-0.70;90.38;1007.32;1.38;-3.28;100.00;81.00;1010.10;1005.90
1999;02;11;00;00;-0.40;87.29;1015.22;0.47;-1.24;95.00;73.00;1022.70;1010.20
1999;02;12;00;00;-2.87;89.29;1026.91;-1.49;-4.03;100.00;78.00;1029.40;1023.50
1999;02;13;00;00;-2.15;88.79;1029.49;-0.10;-3.81;94.00;75.00;1030.90;1028.50
1999;02;14;00;00;-1.16;86.46;1030.29;1.64;-3.05;94.00;71.00;1031.40;1028.70
